OSD.latitude,OSD.longitude,OSD.altitude [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.1939252769829,-59.6414125469547,23,-0.3,231.8,-31.7
13.1939252707461,-59.6414125191844,23,-0.3,231.8,-31.7
13.1939252786106,-59.6414126641603,23,-0.1,231.7,-31.7
13.1939252827912,-59.6414127637674,23,0,231.7,-31.7
13.1939253294811,-59.6414126958374,23,0.1,231.7,-31.7
13.1939254074232,-59.6414126738746,23,0,231.7,-31.7
13.1939253212226,-59.6414128478527,23,-0.1,231.8,-31.7
13.1939253514296,-59.6414129370767,23,0,231.7,-31.7
13.1939254625258,-59.6414130966241,23,0.2,231.8,-31.7
13.1939255967185,-59.64141322819,23,0.2,231.8,-31.7
13.1939260136548,-59.641413461862,23,0.3,231.7,-31.7
13.1939262946336,-59.6414136620617,23,0.5,231.7,-31.7
13.1939266348272,-59.6414139509576,23,0.4,231.6,-31.7
13.1939270596794,-59.641414263189,23,0.5,231.6,-31.7
13.1939276095404,-59.641414527799,23,0.6,231.6,-31.7
13.1939281887005,-59.6414148982108,23,0.7,231.7,-31.7
13.1939290421914,-59.6414156124607,23,0.8,231.6,-31.7
13.1939299046776,-59.6414162149254,23,0.7,231.6,-31.7
13.1939308849593,-59.6414168307297,23,0.4,231.6,-31.7
13.1939319183733,-59.6414175693711,23,0.6,231.5,-31.7
13.1939333409666,-59.6414185369329,23,0.7,231.6,-31.7
13.19393438658,-59.6414192411166,23,0.5,231.4,-31.7
13.1939357961001,-59.6414201970986,23,0.1,231.3,-31.7
13.1939370928793,-59.6414211057056,23,0.4,231.8,-31.7
13.1939386013649,-59.6414220027328,23,0.3,232,-31.7
13.193940184657,-59.6414230294254,23,0,231.6,-31.7
13.1939413676842,-59.6414240940601,23,0.2,231.2,-31.7
13.1939430418032,-59.6414254356237,23,0.6,231.7,-31.7
13.1939444853684,-59.6414259430921,23,1.3,231.9,-31.7
13.1939460331763,-59.6414269326519,23,1.1,231.7,-31.7
13.1939472601862,-59.6414277906811,23,0,231.9,-31.7
13.1939486605226,-59.6414286635985,23,-1.5,231.8,-31.7
13.1939496423978,-59.6414293662687,23,-2.2,231.6,-31.7
13.1939503737754,-59.641429851915,23,-2.8,231.6,-31.7
13.1939508631881,-59.6414302908903,23,0.4,231.1,-31.7
13.1939512219034,-59.6414305483201,23,0.9,231.4,-31.7
13.1939516198554,-59.6414309751173,23,0,231.9,-31.7
13.1939518681598,-59.6414311841515,23,-0.3,231.8,-31.7
13.1939519521331,-59.6414314974387,23,0,231.9,-31.7
13.1939520659535,-59.641431674655,23,0,231.9,-31.7
13.1939521997864,-59.6414318425088,23,0.2,232.2,-31.7
13.1939522799217,-59.6414319347246,23,0,232.2,-31.7
13.1939523339277,-59.6414318488442,23,-0.1,231.6,-31.7
13.1939523356582,-59.6414318506041,23,-0.5,231.5,-31.7
13.1939524097966,-59.6414317337505,23,-1.2,231.7,-31.7
13.193952421105,-59.6414316551911,23,-1.2,231.7,-31.7
